@relation training_data_20190313_including_non_bisulfite

@attribute pos1_A numeric
@attribute pos1_C numeric
@attribute pos1_T numeric
@attribute pos1_G numeric
@attribute pos2_A numeric
@attribute pos2_C numeric
@attribute pos2_T numeric
@attribute pos2_G numeric
@attribute pos3_A numeric
@attribute pos3_C numeric
@attribute pos3_T numeric
@attribute pos3_G numeric
@attribute pos4_A numeric
@attribute pos4_C numeric
@attribute pos4_T numeric
@attribute pos4_G numeric
@attribute pos8_A numeric
@attribute pos8_C numeric
@attribute pos8_T numeric
@attribute pos8_G numeric
@attribute pos9_A numeric
@attribute pos9_C numeric
@attribute pos9_T numeric
@attribute pos9_G numeric
@attribute pos10_A numeric
@attribute pos10_C numeric
@attribute pos10_T numeric
@attribute pos10_G numeric
@attribute pos11_A numeric
@attribute pos11_C numeric
@attribute pos11_T numeric
@attribute pos11_G numeric
@attribute pos12_A numeric
@attribute pos12_C numeric
@attribute pos12_T numeric
@attribute pos12_G numeric
@attribute pos20_A numeric
@attribute pos20_C numeric
@attribute pos20_T numeric
@attribute pos20_G numeric
@attribute pos30_A numeric
@attribute pos30_C numeric
@attribute pos30_T numeric
@attribute pos30_G numeric
@attribute method {Swift,6N_PBAT,6N_sc,9N_sc,WGBS,RRBS,scNOME,UMI_RRBS,9N_PBAT,Amplicon,NOMEseq,Truseq,RNA,ChIP,ATAC,WGS}

@data
20,27,20,31,22,28,19,29,22,29,20,28,24,26,19,29,34,16,32,16,39,18,26,16,34,23,25,17,38,20,25,16,31,23,27,17,30,17,35,16,30,18,31,18,6N_sc
17,33,18,30,18,31,23,25,21,33,18,25,19,32,18,28,26,15,45,13,49,25,11,14,23,46,12,17,46,29,10,13,14,46,16,22,17,17,48,15,25,26,22,26,6N_sc
27,28,18,24,30,30,18,19,27,32,21,18,30,30,18,20,41,18,28,11,45,19,23,11,38,27,23,11,44,22,21,11,36,26,23,12,36,21,30,11,37,22,26,13,9N_sc
25,31,18,24,27,32,20,19,25,34,19,19,27,31,18,22,33,17,38,10,50,20,18,10,32,37,18,10,48,23,16,10,27,38,18,15,27,19,41,11,31,25,25,17,9N_sc
26,29,23,19,28,31,23,16,27,32,22,17,31,29,20,18,43,17,29,9,47,18,24,8,42,23,24,9,45,20,24,9,40,23,25,10,38,19,32,8,39,21,29,10,scNOME
15,0,30,54,35,0,23,40,35,0,31,32,33,0,34,31,29,0,37,32,27,0,48,24,20,0,38,41,42,0,37,19,32,0,33,34,27,0,39,32,9,1,63,25,Amplicon
30,6,40,22,31,4,39,24,31,4,40,23,31,4,39,25,31,3,41,23,30,4,41,23,31,3,40,24,31,3,40,24,31,3,40,24,30,3,41,23,30,3,42,23,NOMEseq
2,73,21,1,2,1,2,92,2,2,2,92,19,3,28,48,16,3,54,25,27,3,46,22,23,3,38,35,18,6,42,32,29,3,39,27,31,3,44,21,20,3,51,24,RRBS
38,10,31,18,29,5,31,33,27,3,30,38,27,3,31,37,29,2,42,24,33,1,39,26,32,1,37,27,33,1,37,28,31,1,38,28,27,1,44,26,27,1,43,26,Truseq
13,0,34,51,36,0,30,32,28,0,37,34,32,0,34,33,32,0,37,29,27,0,50,21,19,0,39,41,42,0,35,21,30,0,35,33,31,0,43,25,15,1,60,22,Amplicon
